district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
NY08,2016,758543,46.1,53.9,6.9,6.1,5.8,6.3,7.9,15.6,13.1,13.1,6.2,5.5,7.7,3.8,2.1,35.8,77.5,73.4,16.9,13.6,44.3,55.7,39.3,60.7,22.4,52.2,0.1,4.9,0.0,0.5,18.2,311229
NY09,2016,755073,45.9,54.1,7.5,5.9,5.8,5.6,7.0,17.1,14.1,12.7,6.0,5.5,7.4,3.7,1.8,35.7,77.1,74.0,16.1,12.9,44.9,55.1,39.1,60.9,31.4,47.8,0.2,7.1,0.0,0.4,11.5,300391
NY10,2016,736997,49.0,51.0,6.9,5.5,5.2,4.8,5.9,20.3,14.6,12.2,5.3,5.6,8.2,3.5,2.1,35.7,80.0,76.4,17.0,13.8,48.1,51.9,44.5,55.5,63.3,3.1,0.1,18.4,0.0,0.5,12.5,358347
NY11,2016,726893,48.2,51.8,6.3,6.2,6.1,5.7,6.6,13.8,13.1,14.1,7.0,6.3,8.3,4.4,2.1,39.3,77.9,74.6,18.5,14.9,47.4,52.6,41.4,58.6,61.4,6.4,0.2,13.0,0.0,0.2,17.1,281155
NY12,2016,729253,47.5,52.5,4.8,3.3,2.8,3.6,6.5,28.1,15.2,11.1,5.7,4.8,7.6,4.6,1.9,35.5,87.6,84.7,16.7,14.1,46.8,53.2,41.3,58.7,65.1,4.4,0.2,13.2,0.0,0.6,14.2,420598
NY13,2016,782199,47.3,52.7,6.7,5.7,5.3,5.5,9.2,18.4,14.0,13.2,5.6,5.3,6.0,3.1,1.9,34.4,79.0,75.0,13.7,10.9,46.3,53.7,36.9,63.1,12.7,25.2,0.2,5.0,0.0,0.6,54.5,311203
NY14,2016,752344,50.6,49.4,6.2,6.2,5.1,4.8,7.7,19.2,14.8,13.3,6.0,4.7,6.7,3.8,1.5,35.5,79.5,76.4,14.7,12.1,50.1,49.9,40.3,59.7,23.9,9.8,0.2,16.7,0.0,0.4,47.9,267535
NY15,2016,750915,46.3,53.7,8.4,7.6,7.5,8.0,9.4,15.4,12.2,13.2,5.2,3.9,5.6,2.7,1.0,30.6,71.9,66.7,11.5,9.3,44.8,55.2,37.2,62.8,2.0,29.9,0.4,1.5,0.0,0.4,65.3,261761
NY16,2016,732521,47.5,52.5,6.2,6.6,6.2,6.7,6.5,12.5,13.1,14.4,6.8,5.4,8.0,5.0,2.6,38.9,77.1,72.9,18.8,15.6,46.6,53.4,40.1,59.9,39.0,29.0,0.2,5.5,0.0,0.6,24.1,284688
NY17,2016,739263,48.6,51.4,6.2,6.8,7.1,7.3,6.4,11.3,12.5,14.2,6.9,6.0,8.3,4.5,2.5,39.1,75.3,71.3,18.6,15.2,47.4,52.6,42.1,57.9,59.8,10.0,0.1,5.8,0.0,0.3,22.5,258232
