District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
TX18,Sheila Jackson Lee,"$384,140 ",Sean Seibert,"$7,668 ",More than 10:1
MS01,Alan Nunnelee,"$698,833 ",Danny Bedwell,"$14,241 ",More than 10:1
TX25,Roger Williams,"$1,234,454 ",Marco Montoya,"$25,125 ",More than 10:1
CA08,Paul Cook,"$297,683 ",Bob Conaway,"$6,104 ",More than 10:1
CA20,Sam Farr,"$747,789 ",Ronald P. Kabat,"$15,488 ",More than 10:1
WI08,Reid Ribble,"$1,066,298 ",Ron Gruett,"$22,206 ",More than 10:1
WI04,Gwen Moore,"$1,045,919 ",Dan Sebring,"$21,964 ",More than 10:1
CA06,Doris O. Matsui,"$982,391 ",Joseph McCray Sr,"$20,950 ",More than 10:1
AL01,Bradley Byrne,"$1,655,998 ",Burton Leflore,"$35,603 ",More than 10:1
TX24,Kenny Marchant,"$431,771 ",Patrick McGehearty,"$9,517 ",More than 10:1
OH16,Jim Renacci,"$1,444,488 ",Pete Crossland,"$35,026 ",More than 10:1
OR01,Suzanne Bonamici,"$897,512 ",Jason Yates,"$22,238 ",More than 10:1
CA22,Devin Nunes,"$1,456,623 ",Suzanna Marrero-Aguilera,"$36,799 ",More than 10:1
NC01,G. K. Butterfield,"$703,902 ",Arthur Rich,"$17,822 ",More than 10:1
CA18,Anna Eshoo,"$1,540,092 ",Richard Fox,"$41,249 ",More than 10:1
MI09,Sander Levin,"$1,491,686 ",George Brikho,"$42,049 ",More than 10:1
VA04,Randy Forbes,"$1,082,779 ",Elliott Fausz,"$30,933 ",More than 10:1
WI02,Mark Pocan,"$896,399 ",Peter Theron,"$25,733 ",More than 10:1
CA14,Jackie Speier,"$841,038 ",Robin Leo Chew,"$24,653 ",More than 10:1
FL13,David Jolly,"$1,810,874 ",Lucas Overby,"$55,143 ",More than 10:1
MA03,Niki Tsongas,"$958,139 ",Ann Wofford,"$29,646 ",More than 10:1
NY07,Nydia M. Velazquez,"$715,659 ",Jose Luis Fernandez,"$22,204 ",More than 10:1
TX19,Randy Neugebauer,"$1,883,937 ",Neal Marchbanks,"$58,682 ",More than 10:1
FL20,Alcee L. Hastings,"$811,994 ",Jay Alan Bonner,"$25,608 ",More than 10:1
SC03,Jeff Duncan,"$582,705 ",Barbara Jo Mullis,"$19,574 ",More than 10:1
IN04,Todd Rokita,"$1,157,768 ",John Dale,"$40,477 ",More than 10:1
NC03,Walter B. Jones Jr,"$677,380 ",Marhshall Adame,"$23,908 ",More than 10:1
FL10,Daniel Webster,"$941,146 ",Michael McKenna,"$33,623 ",More than 10:1
FL17,Tom Rooney,"$669,303 ",Bill Bronson,"$24,607 ",More than 10:1
OR02,Greg Walden,"$3,463,666 ",Aelea Christofferson,"$134,511 ",More than 10:1
GA07,Rob Woodall,"$500,041 ",Thomas Wight,"$19,471 ",More than 10:1
IN08,Larry Bucshon,"$820,412 ",Tom Spangler,"$32,275 ",More than 10:1
SC05,Mick Mulvaney,"$1,136,134 ",Thomas A. Adams,"$47,454 ",More than 10:1
GA09,Doug Collins,"$664,454 ",David Donald Vogel,"$27,968 ",More than 10:1
NJ06,Frank Pallone Jr,"$3,164,507 ",Anthony Wilkinson,"$134,056 ",More than 10:1
WI05,F. James Sensenbrenner Jr,"$326,996 ",Chris Rockwood,"$13,917 ",More than 10:1
OH04,Jim Jordan,"$1,016,222 ",Janet Garrett,"$44,108 ",More than 10:1
MA04,Joe Kennedy III,"$1,629,037 ",Chris Stockwell,"$72,165 ",More than 10:1
NC11,Mark R. Meadows,"$332,785 ",Tom Hill,"$14,965 ",More than 10:1
TX01,Louis B. Gohmert Jr,"$690,899 ",Shirley McKellar,"$31,398 ",More than 10:1
CA50,Duncan D. Hunter,"$841,310 ",James Kimber,"$38,433 ",More than 10:1
OR05,Kurt Schrader,"$1,325,699 ",Tootie Smith,"$61,232 ",More than 10:1
ID02,Mike Simpson,"$2,462,427 ",Richard Stallings,"$113,773 ",More than 10:1
MO06,Sam Graves,"$1,124,266 ",Bill Hedge,"$52,587 ",More than 10:1
MN03,Erik Paulsen,"$2,695,111 ",Sharon Sund,"$127,646 ",More than 10:1
FL19,Curt Clawson,"$4,824,230 ",April Freeman,"$231,797 ",More than 10:1
MI02,Bill Huizenga,"$1,105,248 ",Dean Vanderstelt,"$53,344 ",More than 10:1
MO02,Ann L. Wagner,"$1,165,958 ",Arthur Lieber,"$56,305 ",More than 10:1
CA49,Darrell Issa,"$1,749,467 ",Dave Peiser,"$85,320 ",More than 10:1
WA10,Dennis Heck,"$1,705,017 ",Joyce McDonald,"$87,817 ",More than 10:1
NC13,George Holding,"$1,415,886 ",Brenda Cleary,"$73,203 ",More than 10:1
NY03,Steve Israel,"$3,481,422 ",Grant Lally,"$180,405 ",More than 10:1
IL03,Daniel Lipinski,"$618,212 ",Sharon Brannigan,"$32,937 ",More than 10:1
TX14,Randy Weber,"$545,588 ",Don Brown,"$29,082 ",More than 10:1
ME01,Chellie Pingree,"$381,502 ",Isaac Misiuk,"$20,787 ",More than 10:1
CT02,Joe Courtney,"$1,127,169 ",Lori Hopkins Cavanagh,"$62,120 ",More than 10:1
CA09,Jerry McNerney,"$1,109,114 ",Tony Amador,"$62,057 ",More than 10:1
PA01,Robert A. Brady,"$750,831 ",Megan Ann Rath,"$42,004 ",More than 10:1
FL24,Frederica Wilson,"$234,359 ",Luis Fernandez,"$13,344 ",More than 10:1
NY12,Carolyn B. Maloney,"$1,457,836 ",Nicholas S. Di Iorio,"$83,761 ",More than 10:1
IL14,Randy Hultgren,"$957,244 ",Dennis Anderson,"$55,201 ",More than 10:1
TN09,Steve Cohen,"$915,467 ",Charlotte Bergmann,"$53,276 ",More than 10:1
TX12,Kay Granger,"$1,317,818 ",Mark Greene,"$80,203 ",More than 10:1
OH15,Steve Stivers,"$2,020,212 ",Scott Wharton,"$127,340 ",More than 10:1
WA05,Cathy McMorris Rodgers,"$2,910,112 ",Joe Pakootas,"$188,061 ",More than 10:1
NE03,Adrian Smith,"$877,939 ",Mark Sullivan,"$57,041 ",More than 10:1
VA05,Robert Hurt,"$1,227,680 ",Walter Lawrence Gaughan,"$86,054 ",More than 10:1
MD04,Donna Edwards,"$564,094 ",Nancy Hoyt,"$39,688 ",More than 10:1
PA07,Patrick Meehan,"$1,332,058 ",Mary Ellen Balchunis,"$94,265 ",More than 10:1
FL16,Vernon Buchanan,"$851,628 ",Henry Lawrence,"$60,744 ",More than 10:1
FL07,John L. Mica,"$727,555 ",Wes Neuman,"$52,374 ",More than 10:1
NV01,Dina Titus,"$1,012,672 ",Annette Teijeiro,"$73,068 ",More than 10:1
TN05,Jim Cooper,"$600,091 ",Bob Ries,"$43,720 ",More than 10:1
TX31,John Carter,"$862,690 ",Louie Minor,"$65,279 ",More than 10:1
OH05,Robert E. Latta,"$777,771 ",Robert Fry,"$59,444 ",More than 10:1
IN09,Todd Young,"$1,405,164 ",Bill Bailey,"$112,786 ",More than 10:1
AZ04,Paul Gosar,"$401,796 ",Mikel Weisser,"$32,624 ",More than 10:1
NC10,Patrick McHenry,"$1,021,565 ",Tate MacQueen,"$82,885 ",More than 10:1
MO07,Billy Long,"$952,826 ",James S. Evans,"$78,335 ",More than 10:1
NY17,Nita M. Lowey,"$2,332,093 ",Chris Day,"$194,699 ",More than 10:1
CA42,Ken Calvert,"$1,206,750 ",Tim Sheridan,"$101,404 ",More than 10:1
WI01,Paul Ryan,"$8,041,589 ",Rob Zerban,"$704,510 ",More than 10:1
AL05,Mo Brooks,"$299,837 ",Mark Bray,"$26,437 ",More than 10:1
FL06,Ron DeSantis,"$429,687 ",David Cox,"$37,892 ",More than 10:1
UT03,Jason Chaffetz,"$775,880 ",Stephen P. Tryon,"$71,621 ",More than 10:1
AZ05,Matt Salmon,"$574,358 ",James Woods,"$56,749 ",More than 10:1
SD01,Kristi Noem,"$1,684,068 ",Corinna Robinson,"$167,102 ",More than 10:1
FL03,Ted Yoho,"$791,906 ",Marihelen Wheeler,"$80,417 ",More than 5:1 and Up to 10:1
FL08,Bill Posey,"$1,042,652 ",Gabriel Rothblatt,"$106,401 ",More than 5:1 and Up to 10:1
NM03,Ben R. Lujan,"$1,045,767 ",Jeff Byrd,"$110,501 ",More than 5:1 and Up to 10:1
PA17,Matt Cartwright,"$878,615 ",David Moylan,"$93,599 ",More than 5:1 and Up to 10:1
NY26,Brian M. Higgins,"$663,042 ",Kathleen Weppner,"$71,418 ",More than 5:1 and Up to 10:1
TX07,John Culberson,"$691,303 ",James Cargas,"$74,635 ",More than 5:1 and Up to 10:1
FL22,Lois J. Frankel,"$1,334,369 ",Paul Spain,"$145,296 ",More than 5:1 and Up to 10:1
CA04,Tom McClintock,"$1,750,512 ",Art Moore,"$196,522 ",More than 5:1 and Up to 10:1
KY02,Brett Guthrie,"$1,292,842 ",Ron Leach,"$144,599 ",More than 5:1 and Up to 10:1
NE01,Jeff Fortenberry,"$396,337 ",Dennis Crawford,"$44,690 ",More than 5:1 and Up to 10:1
NJ07,Leonard Lance,"$1,031,919 ",Janice Kovach,"$116,468 ",More than 5:1 and Up to 10:1
MO08,Jason Smith,"$1,589,517 ",Barbara Hamill Stocker,"$181,809 ",More than 5:1 and Up to 10:1
TN03,Chuck Fleischmann,"$1,544,337 ",Mary Margaret Headrick,"$177,280 ",More than 5:1 and Up to 10:1
PA16,Joe Pitts,"$1,314,731 ",Tom Houghton,"$152,536 ",More than 5:1 and Up to 10:1
CA47,Alan Lowenthal,"$506,596 ",Andrew Whallon,"$59,582 ",More than 5:1 and Up to 10:1
NJ11,Rodney Frelinghuysen,"$1,442,972 ",Mark S. Dunec,"$173,617 ",More than 5:1 and Up to 10:1
VA01,Rob Wittman,"$866,738 ",Norm Mosher,"$108,214 ",More than 5:1 and Up to 10:1
CA48,Dana Rohrabacher,"$795,322 ",Sue Savary,"$111,839 ",More than 5:1 and Up to 10:1
FL09,Alan Grayson,"$3,102,601 ",Carol Platt,"$439,305 ",More than 5:1 and Up to 10:1
MO05,Emanuel Cleaver,"$1,015,923 ",Jacob Turk,"$142,593 ",More than 5:1 and Up to 10:1
IL08,Tammy Duckworth,"$2,289,837 ",Lawrence Joseph Kaifesh,"$331,672 ",More than 5:1 and Up to 10:1
PA05,Glenn Thompson,"$1,098,205 ",Kerith Strano Taylor,"$159,848 ",More than 5:1 and Up to 10:1
MN01,Timothy J. Walz,"$1,559,502 ",Jim Hagedorn,"$238,633 ",More than 5:1 and Up to 10:1
CO07,Edwin G. Perlmutter,"$1,891,891 ",Don Ytterberg,"$298,112 ",More than 5:1 and Up to 10:1
